iter	Passed	Remaining
399	45523	52123
400	45637	52011
401	45761	51908
402	45880	51800
403	46017	51713
404	46138	51606
405	46263	51505
406	46400	51416
407	46519	51308
408	46660	51224
409	46791	51127
410	46912	51022
411	47027	50908
412	47163	50817
413	47299	50727
414	47413	50612
415	47552	50524
416	47675	50419
417	47797	50313
418	47933	50221
419	48058	50118
420	48196	50027
421	48332	49936
422	48463	49838
423	48563	49708
424	48685	49601
425	48810	49497
426	48916	49374
427	49040	49269
428	49143	49143
429	49289	49060
430	49425	48966
431	49549	48861
432	49666	48749
433	49775	48628
434	49904	48527
435	50019	48413
436	50170	48333
437	50296	48229
438	50432	48135
439	50560	48032
440	50676	47918
441	50789	47801
442	50919	47700
443	51050	47601
444	51182	47502
445	51304	47393
446	51420	47278
447	51559	47186
448	51678	47074
449	51803	46968
450	51929	46862
451	52062	46763
452	52190	46660
453	52310	46549
454	52436	46443
455	52554	46330
456	52684	46228
457	52815	46127
458	52946	46025
459	53075	45922
460	53203	45817
461	53339	45719
462	53455	45604
463	53596	45511
464	53732	45413
465	53849	45298
466	53986	45200
467	54117	45098
468	54249	44996
469	54379	44892
470	54479	44763
471	54592	44645
472	54730	44548
473	54862	44445
474	54987	44337
475	55093	44214
476	55204	44094
477	55344	43997
478	55459	43881
479	55582	43771
480	55706	43662
481	55819	43543
482	55975	43459
483	56094	43345
484	56227	43243
485	56355	43136
486	56487	43032
487	56614	42924
488	56737	42814
489	56868	42709
490	57000	42605
491	57122	42493
492	57259	42393
493	57387	42285
494	57538	42195
495	57650	42075
496	57777	41967
497	57895	41852
498	58018	41740
499	58127	41619
500	58255	41511
501	58382	41402
502	58472	41267
503	58603	41162
504	58723	41048
505	58846	40936
506	58946	40808
507	59087	40709
508	59192	40585
509	59298	40462
510	59410	40343
511	59529	40228
512	59651	40116
513	59758	39993
514	59878	39880
515	60015	39777
516	60141	39667
517	60275	39563
518	60392	39446
519	60517	39336
520	60614	39207
521	60735	39094
522	60855	38980
523	60979	38868
524	61110	38761
525	61247	38658
526	61353	38535
527	61464	38415
528	61595	38307
529	61702	38185
530	61826	38074
531	61950	37961
532	62072	37849
533	62209	37745
534	62321	37626
535	62446	37514
536	62567	37400
537	62694	37290
538	62818	37178
539	62940	37065
540	63061	36950
541	63185	36838
542	63281	36709
543	63381	36584
544	63488	36462
545	63627	36358
546	63727	36232
547	63853	36121
548	63975	36007
549	64088	35889
550	64229	35786
551	64356	35675
552	64466	35555
553	64591	35443
554	64706	35326
555	64840	35219
556	64984	35117
557	65093	34996
558	65225	34888
559	65337	34768
560	65449	34649
561	65573	34536
562	65673	34411
563	65778	34288
564	65915	34182
565	66015	34057
566	66146	33948
567	66267	33834
568	66402	33726
569	66515	33607
570	66657	33503
571	66765	33382
572	66904	33276
573	67021	33160
574	67141	33045
575	67264	32931
576	67383	32815
577	67520	32708
578	67664	32605
579	67786	32490
580	67896	32370
581	68015	32254
582	68145	32144
583	68247	32020
584	68371	31906
585	68508	31798
586	68618	31679
587	68722	31556
588	68841	31440
589	68989	31337
590	69106	31220
591	69226	31105
592	69350	30991
593	69457	30870
594	69572	30752
595	69697	30639
596	69813	30521
597	69928	30403
598	70065	30295
599	70214	30192
600	70351	30083
601	70476	29969
602	70584	29848
603	70699	29731
604	70815	29613
605	70939	29499
606	71054	29381
607	71209	29280
608	71334	29166
609	71456	29051
610	71574	28934
611	71678	28811
612	71783	28690
613	71926	28583
614	72052	28469
615	72166	28351
616	72292	28237
617	72436	28130
618	72571	28020
619	72687	27902
620	72798	27782
621	72912	27664
622	73026	27546
623	73152	27432
624	73280	27319
625	73402	27203
626	73520	27086
627	73650	26973
628	73793	26866
629	73906	26747
630	74041	26636
631	74163	26520
632	74275	26401
633	74378	26278
634	74521	26170
635	74638	26053
636	74752	25934
637	74886	25822
638	74998	25703
639	75110	25584
640	75242	25472
641	75349	25351
642	75487	25240
643	75631	25132
644	75761	25018
645	75887	24904
646	76015	24790
647	76135	24673
648	76284	24566
649	76413	24452
650	76545	24339
651	76672	24224
652	76788	24106
653	76908	23989
654	77050	23879
655	77143	23754
656	77256	23635
657	77372	23517
658	77521	23409
659	77633	23290
660	77761	23175
661	77876	23057
662	77995	22939
663	78137	22829
664	78262	22713
665	78385	22597
666	78505	22480
667	78620	22362
668	78740	22245
669	78881	22134
670	79014	22020
671	79157	21909
672	79302	21799
673	79437	21686
674	79592	21578
675	79719	21462
676	79822	21340
677	79950	21225
678	80083	21111
679	80232	21002
680	80366	20888
681	80471	20766
682	80579	20646
683	80692	20526
684	80796	20405
685	80929	20291
686	81028	20168
687	81150	20051
688	81282	19937
689	81418	19823
690	81549	19708
691	81666	19590
692	81782	19471
693	81914	19357
694	82017	19235
695	82170	19125
696	82325	19016
697	82433	18896
